,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,5,1,0.005626683006994426,1,4,4.0
0,aleat,5,2,0.004820236004889011,2,6,3.0
0,aleat,5,3,0.004507826000917703,2,7,3.5
0,aleat,5,4,0.004248353012371808,3,9,3.0
0,aleat,5,5,0.004141181008890271,2,9,4.5
0,aleat,5,6,0.004106607986614108,3,12,4.0
0,aleat,5,7,0.004491888976190239,3,15,5.0
0,aleat,5,8,0.003989001037552953,3,10,3.33333
0,aleat,5,9,0.004060782957822084,3,12,4.0
0,aleat,5,10,0.003983883012551814,3,13,4.33333
0,aleat,5,11,0.004092549032066017,4,15,3.75
0,aleat,5,12,0.003980245965067297,3,14,4.66667
0,aleat,5,13,0.004035875026602298,3,10,3.33333
0,aleat,5,14,0.006013698992319405,3,13,4.33333
0,aleat,5,15,0.004302108020056039,4,14,3.5
0,aleat,5,16,0.004100480990018696,2,8,4.0
0,aleat,5,17,0.003996940969955176,4,16,4.0
0,aleat,5,18,0.0039574080146849155,4,17,4.25
0,aleat,5,19,0.004328446986619383,3,10,3.33333
0,aleat,5,20,0.00453049800125882,3,13,4.33333
0,aleat,10,1,0.004078340018168092,1,6,6.0
0,aleat,10,2,0.004077899036929011,2,5,2.5
0,aleat,10,3,0.003770320035982877,3,12,4.0
0,aleat,10,4,0.003906401980202645,5,17,3.4
0,aleat,10,5,0.004063494969159365,4,13,3.25
0,aleat,10,6,0.004394433984998614,4,15,3.75
0,aleat,10,7,0.0041494619799777865,5,17,3.4
0,aleat,10,8,0.004095498996321112,5,20,4.0
0,aleat,10,9,0.004038548038806766,5,18,3.6
0,aleat,10,10,0.003992487967479974,3,13,4.33333
0,aleat,10,11,0.004494693013839424,5,19,3.8
0,aleat,10,12,0.004220089002046734,3,12,4.0
0,aleat,10,13,0.0038505700067617,3,10,3.33333
0,aleat,10,14,0.004208253987599164,4,16,4.0
0,aleat,10,15,0.004059479048009962,4,16,4.0
0,aleat,10,16,0.004698186996392906,4,16,4.0
0,aleat,10,17,0.0041575159993954,5,19,3.8
0,aleat,10,18,0.00448707101168111,5,16,3.2
0,aleat,10,19,0.004572722013108432,4,16,4.0
0,aleat,10,20,0.004235378990415484,4,17,4.25
0,aleat,15,1,0.0038537580403499305,1,3,3.0
0,aleat,15,2,0.004035471007227898,3,11,3.66667
0,aleat,15,3,0.005048642982728779,4,17,4.25
0,aleat,15,4,0.004205419973004609,4,17,4.25
0,aleat,15,5,0.00388940901029855,4,15,3.75
0,aleat,15,6,0.0040511079714633524,5,15,3.0
0,aleat,15,7,0.003951592952944338,4,14,3.5
0,aleat,15,8,0.004224239033646882,6,19,3.16667
0,aleat,15,9,0.004210521001368761,5,19,3.8
0,aleat,15,10,0.00405214203055948,3,13,4.33333
0,aleat,15,11,0.0041585759609006345,5,18,3.6
0,aleat,15,12,0.004014345002360642,6,22,3.66667
0,aleat,15,13,0.003960399015340954,4,18,4.5
0,aleat,15,14,0.004105179978068918,6,23,3.83333
0,aleat,15,15,0.004025664005894214,4,13,3.25
0,aleat,15,16,0.0039696230087429285,4,16,4.0
0,aleat,15,17,0.003978054970502853,6,22,3.66667
0,aleat,15,18,0.004082375031430274,5,19,3.8
0,aleat,15,19,0.003851535962894559,5,20,4.0
0,aleat,15,20,0.004002080007921904,4,16,4.0
0,aleat,20,1,0.0039985759649425745,1,4,4.0
0,aleat,20,2,0.00395018100971356,2,7,3.5
0,aleat,20,3,0.004343492037151009,4,15,3.75
0,aleat,20,4,0.0042695170268416405,5,19,3.8
0,aleat,20,5,0.004156559007242322,5,24,4.8
0,aleat,20,6,0.003988723969087005,6,21,3.5
0,aleat,20,7,0.00417577096959576,5,23,4.6
0,aleat,20,8,0.0040220090304501355,4,17,4.25
0,aleat,20,9,0.004078293975908309,5,17,3.4
0,aleat,20,10,0.004073994990903884,6,20,3.33333
0,aleat,20,11,0.005359280970878899,5,19,3.8
0,aleat,20,12,0.0045081740245223045,6,20,3.33333
0,aleat,20,13,0.0042301089852117,4,17,4.25
0,aleat,20,14,0.004141221987083554,5,17,3.4
0,aleat,20,15,0.0043236230267211795,4,13,3.25
0,aleat,20,16,0.004076422948855907,6,18,3.0
0,aleat,20,17,0.004356193996500224,5,18,3.6
